bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
34.2,161117,80535,120838,241000,66,34.2,50.4,,,,,242
33.9,161776,80874,121351,242000,65.9,33.9,51.3,,,,,243
33.9,162454,81213,121833,243000,67.8,33.9,48.2,,,,,244
32.1,163110,81534,122313,244000,65.6,32.1,48,,,,,245
35.1,163799,81885,122808,245000,68.9,35.1,49.5,,,,,246
32.4,164473,82209,123292,246000,67.4,32.4,48.4,,,,,247
32.4,165136,82533,123807,247000,66.3,32.4,51.5,,,,,248
33.5,165811,82868,124309,248000,67.5,33.5,50.2,,,,,249
32.1,166490,83189,124787,249000,67.9,32.1,47.8,,,,,250
33.3,167163,83522,125308,250000,67.3,33.3,52.1,,,,,251
31.4,167843,83836,125806,251000,68,31.4,49.8,,,,,252
34.2,168496,84178,126325,252000,65.3,34.2,51.9,,,,,253
31.4,169177,84492,126825,253000,68.1,31.4,50,,,,,254
33.5,169837,84827,127305,254000,66,33.5,48,,,,,255
32.8,170505,85155,127769,255000,66.8,32.8,46.4,,,,,256
31.3,171193,85468,128271,256000,68.8,31.3,50.2,,,,,257
33.6,171858,85804,128768,257000,66.5,33.6,49.7,,,,,258
33.5,172528,86139,129260,258000,67,33.5,49.2,,,,,259
31.8,173203,86457,129767,259000,67.5,31.8,50.7,,,,,260
31.7,173853,86774,130248,260000,65,31.7,48.1,,,,,261
34.2,174537,87116,130757,261000,68.4,34.2,50.9,,,,,262
32.4,175223,87440,131274,262000,68.6,32.4,51.7,,,,,263
30.5,175892,87745,131779,263000,66.9,30.5,50.5,,,,,264
31.1,176566,88056,132282,264000,67.4,31.1,50.3,,,,,265
32.2,177213,88378,132789,265000,64.7,32.2,50.7,,,,,266
33.9,177901,88717,133280,266000,68.8,33.9,49.1,,,,,267
32.1,178554,89038,133775,267000,65.3,32.1,49.5,,,,,268
33.2,179198,89370,134260,268000,64.4,33.2,48.5,,,,,269
33.7,179875,89707,134755,269000,67.7,33.7,49.5,,,,,270
32.5,180535,90032,135270,270000,66,32.5,51.5,,,,,271
35.1,181203,90383,135780,271000,66.8,35.1,51,,,,,272
30.7,181884,90690,136255,272000,68.1,30.7,47.5,,,,,273
32,182556,91010,136756,273000,67.2,32,50.1,,,,,274
35.8,183245,91368,137264,274000,68.9,35.8,50.8,,,,,275
32.1,183929,91689,137771,275000,68.4,32.1,50.7,,,,,276
34.9,184582,92038,138285,276000,65.3,34.9,51.4,,,,,277
35.3,185233,92391,138778,277000,65.1,35.3,49.3,,,,,278
35.4,185903,92745,139289,278000,67,35.4,51.1,,,,,279
33.9,186570,93084,139808,279000,66.7,33.9,51.9,,,,,280
36.9,187238,93453,140292,280000,66.8,36.9,48.4,,,,,281
32,187903,93773,140790,281000,66.5,32,49.8,,,,,282
33.5,188583,94108,141271,282000,68,33.5,48.1,,,,,283
34,189250,94448,141793,283000,66.7,34,52.2,,,,,284
29.9,189910,94747,142299,284000,66,29.9,50.6,,,,,285
33.7,190563,95084,142794,285000,65.3,33.7,49.5,,,,,286
31.7,191187,95401,143299,286000,62.4,31.7,50.5,,,,,287
31.8,191881,95719,143795,287000,69.4,31.8,49.6,,,,,288
33,192535,96049,144255,288000,65.4,33,46,,,,,289
34.3,193197,96392,144756,289000,66.2,34.3,50.1,,,,,290
33.1,193851,96723,145242,290000,65.4,33.1,48.6,,,,,291
32.3,194498,97046,145743,291000,64.7,32.3,50.1,,,,,292
34.1,195180,97387,146279,292000,68.2,34.1,53.6,,,,,293
29.3,195867,97680,146769,293000,68.7,29.3,49,,,,,294
35.9,196523,98039,147280,294000,65.6,35.9,51.1,,,,,295
35,197180,98389,147795,295000,65.7,35,51.5,,,,,296
31.3,197830,98702,148282,296000,65,31.3,48.7,,,,,297
32.5,198524,99027,148778,297000,69.4,32.5,49.6,,,,,298
32.9,199196,99356,149274,298000,67.2,32.9,49.6,,,,,299
32.5,199836,99681,149772,299000,64,32.5,49.8,,,,,300
34.9,200496,100030,150281,300000,66,34.9,50.9,,,,,301
35.8,201170,100388,150802,301000,67.4,35.8,52.1,,,,,302
33.5,201847,100723,151321,302000,67.7,33.5,51.9,,,,,303
33,202514,101053,151820,303000,66.7,33,49.9,,,,,304
34.1,203178,101394,152320,304000,66.4,34.1,50,,,,,305
33.9,203846,101733,152818,305000,66.8,33.9,49.8,,,,,306
32.5,204482,102058,153330,306000,63.6,32.5,51.2,,,,,307
36,205138,102418,153837,307000,65.6,36,50.7,,,,,308
33.6,205784,102754,154341,308000,64.6,33.6,50.4,,,,,309
32.8,206451,103082,154813,309000,66.7,32.8,47.2,,,,,310
34.5,207127,103427,155333,310000,67.6,34.5,52,,,,,311
33.2,207797,103759,155840,311000,67,33.2,50.7,,,,,312
31.2,208448,104071,156347,312000,65.1,31.2,50.7,,,,,313
36.1,209126,104432,156865,313000,67.8,36.1,51.8,,,,,314
30.9,209777,104741,157346,314000,65.1,30.9,48.1,,,,,315
34,210410,105081,157837,315000,63.3,34,49.1,,,,,316
31.4,211089,105395,158329,316000,67.9,31.4,49.2,,,,,317
34.3,211715,105738,158833,317000,62.6,34.3,50.4,,,,,318
32.3,212406,106061,159340,318000,69.1,32.3,50.7,,,,,319
31.2,213062,106373,159818,319000,65.6,31.2,47.8,,,,,320
31.9,213740,106692,160312,320000,67.8,31.9,49.4,,,,,321
35.3,214391,107045,160829,321000,65.1,35.3,51.7,,,,,322
32.5,215051,107370,161334,322000,66,32.5,50.5,,,,,323
32.3,215739,107693,161834,323000,68.8,32.3,50,,,,,324
33.3,216434,108026,162337,324000,69.5,33.3,50.3,,,,,325
31.7,217091,108343,162841,325000,65.7,31.7,50.4,,,,,326
33,217741,108673,163333,326000,65,33,49.2,,,,,327
29.8,218419,108971,163830,327000,67.8,29.8,49.7,,,,,328
